x,y,z,l,w,h,r
1.47,1.72,4.22,-3.89,1.76,37.66,2.49
1.42,1.71,4.14,-6.67,1.82,21.88,1.04
1.48,1.87,4.74,2.88,1.65,41.18,2.72
1.63,1.69,4.23,-17.32,1.94,29.97,-0.01
1.5,1.74,4.56,2.67,1.63,13.27,0.23
1.57,1.65,4.09,-14.44,1.71,16.35,0.19
1.48,1.65,4.4,-4.31,1.82,7.54,1.63
1.42,1.66,3.64,-2.4,1.92,23.68,1.73
1.44,1.64,3.78,2.45,1.94,47.04,1.87
1.57,1.47,3.23,-7.0,1.67,10.11,-3.11
1.43,1.57,3.46,-6.72,1.67,12.15,3.14
1.42,1.56,3.48,6.26,1.54,18.95,-2.08
1.41,1.51,3.45,1.91,1.57,31.09,-1.71
1.48,1.62,3.63,-7.41,1.82,21.97,3.12
1.44,1.64,4.01,-7.15,1.62,26.74,3.12
1.42,1.63,4.15,1.11,1.53,40.91,-1.66
1.6,1.76,3.84,-0.39,1.23,21.8,-1.59
1.36,1.62,3.99,-3.69,1.59,2.16,-1.59
1.43,1.52,3.54,-7.59,1.48,7.83,-1.59
1.5,1.57,3.63,-12.12,1.12,28.76,-1.57
1.3,1.61,4.39,-3.49,0.99,34.57,-1.6
1.73,1.6,4.11,-8.82,2.05,15.88,1.61
1.47,1.63,4.11,-8.44,1.89,25.31,1.62
1.8,1.61,3.83,-7.97,1.95,32.05,1.63
1.45,1.45,3.4,-7.64,1.98,37.13,1.63
1.75,1.71,4.31,-7.32,2.03,41.96,1.64
1.5,1.78,3.69,-3.16,1.68,3.35,-1.56
1.51,1.75,4.45,19.42,0.63,22.88,0.11
1.44,1.64,3.68,-5.88,1.08,33.23,1.08
1.63,1.78,4.54,-13.4,1.6,23.19,1.46
1.41,1.58,4.36,3.03,2.3,32.94,-1.58
1.6,1.76,3.84,-0.4,1.26,23.37,-1.59
1.36,1.62,3.99,-3.73,1.56,5.43,-1.59
1.43,1.52,3.54,-7.69,1.44,11.62,-1.58
1.4,1.46,3.84,-7.97,1.29,23.12,-1.57
1.5,1.57,3.63,-12.19,1.14,31.96,-1.57
1.3,1.61,4.39,-3.55,0.98,39.04,-1.6
1.43,1.75,4.47,-3.72,1.82,13.16,1.59
1.39,1.48,3.76,-3.74,1.48,38.49,1.56
1.55,1.57,3.64,5.82,1.53,10.13,-1.48
1.33,1.47,3.83,8.14,1.43,9.82,-1.57
1.38,1.8,3.41,-16.28,2.1,21.58,1.57
1.45,1.74,3.42,-15.67,2.29,45.73,1.67
1.41,1.53,4.11,-6.58,1.63,5.69,3.08
1.46,1.57,3.6,-6.64,1.66,11.17,3.1
1.48,1.54,4.19,-6.13,1.71,13.35,-0.04
1.52,1.57,4.08,-6.55,1.73,15.81,-3.13
1.62,1.61,3.55,3.12,1.74,7.3,-1.58
1.39,1.51,3.4,3.16,1.83,20.83,-1.63
1.48,1.49,3.38,-5.63,1.76,18.25,0.02
1.63,1.55,3.35,-6.09,1.87,25.51,3.06
1.34,1.52,3.99,6.71,1.79,28.08,-3.07
2.22,1.68,4.08,-6.56,1.88,34.66,0.0
1.46,1.61,4.31,-6.52,1.98,44.51,-3.14
1.8,1.77,4.41,-5.98,1.99,49.43,3.03
1.48,1.56,3.62,-1.91,0.58,58.58,-1.43
1.5,1.62,3.88,-0.38,0.93,36.34,-1.39
1.48,1.7,4.5,-4.64,1.17,27.38,-1.07
1.68,1.67,4.29,-12.64,1.14,38.42,1.73
1.56,1.57,3.98,2.7,1.7,5.19,-1.6
1.61,1.57,3.35,-8.27,1.75,27.52,-3.11
1.79,1.72,4.35,5.83,1.44,41.0,1.52
1.45,1.49,4.07,-1.95,1.69,42.23,1.53
1.44,1.62,3.91,-10.57,1.84,35.17,-2.96
1.41,1.59,4.47,0.66,3.3,71.07,1.58
1.41,1.59,4.47,-3.25,1.75,22.93,1.45
1.86,1.69,3.69,-6.18,1.93,20.49,-3.12
1.68,1.69,4.07,-6.36,1.94,25.06,-3.13
2.04,1.99,4.82,11.21,1.47,38.67,-1.53
1.48,1.56,4.12,-6.44,1.92,30.1,3.14
1.74,1.75,4.57,-6.48,1.94,35.27,-3.13
1.44,1.62,3.67,-2.11,2.04,62.13,1.63
1.52,1.55,3.79,-3.57,1.68,14.75,1.56
1.48,1.62,3.21,-3.43,1.96,39.83,1.58
1.55,1.51,3.75,-3.49,2.34,72.27,1.58
1.92,1.58,3.93,-20.52,2.33,66.14,1.58
1.62,1.63,4.5,0.02,1.88,30.48,-1.57
1.49,1.64,3.7,-8.47,1.83,27.66,3.12
1.9,1.78,4.25,-8.36,1.82,42.0,-3.13
1.52,1.64,3.7,-8.07,1.81,60.51,-0.02
1.41,1.54,3.36,-3.26,1.48,10.84,-1.57
1.52,1.67,4.38,-1.09,1.26,22.87,-1.6
1.56,1.59,3.65,-2.54,1.09,31.27,-1.55
1.39,1.46,3.37,-7.03,1.14,35.76,1.6
1.48,1.47,2.23,0.18,0.95,35.6,-1.57
1.77,1.63,4.1,3.4,1.64,17.03,1.58
1.69,1.64,4.21,3.71,1.74,32.72,-1.57
1.55,1.64,3.7,-3.08,2.02,38.52,1.58
1.63,1.81,4.54,-0.84,1.91,49.24,-1.46
1.61,1.66,3.2,0.51,1.69,19.6,-1.55
1.63,1.6,3.73,-2.65,1.85,10.36,1.59
1.45,1.5,3.26,2.56,1.8,2.28,-1.48
1.59,1.49,3.34,2.54,1.85,8.49,-1.61
1.54,1.6,3.52,2.21,1.97,13.85,-1.61
1.54,1.5,3.48,-2.82,1.9,15.7,-1.6
1.44,1.63,3.32,-3.04,2.0,20.82,1.57
1.55,1.55,3.27,2.32,1.97,20.63,-1.66
1.48,1.6,3.79,1.88,2.1,25.49,-1.61
1.56,1.55,3.64,-3.3,2.32,35.96,1.6
1.91,1.66,4.22,-2.93,2.24,41.56,1.58
1.83,1.69,4.28,-2.31,2.47,47.52,1.62
1.6,1.76,3.84,-1.05,1.33,38.61,-1.6
1.39,1.62,3.73,-7.62,1.63,12.48,-1.59
1.37,1.61,4.21,-3.41,1.59,9.81,-1.58
1.45,1.64,3.86,-7.99,1.52,21.4,-1.58
1.38,1.71,4.49,-5.09,1.48,25.55,-1.59
1.33,1.55,3.83,-12.69,1.61,19.03,-1.58
1.63,1.71,4.13,-12.99,1.53,26.27,-1.58
1.26,1.6,3.56,-1.92,1.63,67.48,-1.6
1.48,1.64,3.59,-7.34,1.83,35.87,1.57
1.57,1.54,3.22,2.85,1.55,6.78,-1.6
1.74,1.6,3.86,2.65,1.55,11.89,-1.57
1.83,1.69,4.44,2.69,1.54,17.32,-1.57
1.61,1.62,3.78,2.82,1.57,22.78,-1.54
1.86,1.57,3.83,-4.37,1.48,49.07,1.58
1.5,1.46,3.7,-5.14,1.65,26.41,1.6
1.54,1.7,4.32,-5.3,1.85,3.83,1.6
1.54,1.54,3.72,-5.11,1.81,8.62,1.57
1.57,1.6,4.24,-5.13,1.81,13.84,1.57
1.65,1.61,3.73,-5.24,1.72,19.29,1.6
1.79,1.72,4.35,1.89,1.41,23.37,1.41
1.45,1.49,4.07,-5.79,1.66,23.46,1.43
1.27,1.54,3.58,-6.58,1.68,31.83,1.45
1.65,1.67,3.64,-0.32,2.11,48.18,-1.59
1.43,1.63,4.31,-10.01,2.48,58.03,1.51
1.36,1.68,4.49,-8.93,1.9,9.08,0.05
1.49,1.64,3.7,-6.9,2.01,53.33,-3.13
1.73,1.74,4.71,6.1,1.4,27.84,3.13
1.57,1.64,4.56,23.65,0.33,31.5,0.02
1.62,1.67,4.17,23.72,0.39,27.39,0.0
1.65,1.79,4.2,23.82,0.53,24.8,-0.01
1.51,1.64,4.17,23.04,0.22,41.36,0.01
1.52,1.6,4.42,23.36,0.25,43.84,-0.03
1.58,1.76,4.18,-4.29,1.79,37.7,1.53
1.65,1.88,4.45,-1.48,1.66,60.18,1.63
1.8,1.65,3.55,20.74,0.29,55.3,-1.58
1.64,1.7,3.91,23.39,0.24,55.6,-1.57
1.5,1.71,4.44,4.67,1.28,55.52,1.53
1.6,1.76,3.84,0.09,1.31,20.18,-1.56
1.5,1.7,3.97,-8.25,1.58,10.51,-1.58
1.49,1.66,3.37,-8.18,1.5,17.18,-1.57
1.63,1.67,3.92,-3.88,1.48,14.11,-1.57
1.42,1.61,4.05,-8.67,1.34,26.51,-1.58
1.56,1.69,3.63,-4.57,1.32,25.81,-1.57
1.38,1.58,3.49,-5.13,1.16,37.1,-1.57
1.43,1.64,4.33,-4.9,1.11,45.63,-1.58
1.48,1.69,4.52,-12.74,1.45,33.27,-1.58
1.54,1.63,3.67,3.06,1.77,50.91,-1.51
1.88,1.57,3.71,3.62,1.75,12.82,-1.55
1.5,1.56,3.69,3.29,1.68,7.09,-1.44
1.7,1.62,3.76,4.03,1.79,22.59,-1.53
1.4,1.53,3.56,4.83,1.78,34.11,-1.49
1.41,1.57,3.53,-4.77,1.7,21.24,1.42
1.47,1.72,4.22,-3.81,1.66,43.29,2.49
1.42,1.71,4.14,-9.64,1.83,30.7,0.72
1.61,1.87,3.69,-15.29,1.87,18.2,1.35
1.48,1.87,4.74,3.32,1.51,46.86,2.75
1.72,1.65,4.33,-6.58,1.65,6.53,-3.11
1.59,1.6,3.03,-6.73,1.71,9.25,-3.11
1.57,1.54,4.1,-6.5,1.58,14.17,0.07
1.89,1.59,3.87,-6.36,1.71,19.01,-3.14
1.45,1.59,3.59,2.75,1.71,15.73,-1.59
1.54,1.67,3.72,2.92,1.69,3.56,-1.57
1.66,1.74,3.65,2.67,1.72,26.54,-1.58
1.59,1.63,4.3,-6.53,1.74,26.71,3.1
1.36,1.55,3.87,2.66,1.66,32.66,-1.61
1.62,1.48,3.36,2.63,1.78,41.75,-1.61
1.66,1.73,3.05,-0.05,1.62,39.35,-1.57
1.38,1.51,4.1,-1.26,1.72,26.01,-1.69
1.6,1.66,3.55,0.57,1.62,13.94,-1.68
1.47,1.62,4.32,-26.87,2.15,53.56,1.48
1.63,1.81,4.54,-1.87,1.6,12.23,-1.51
1.47,1.54,3.02,3.82,1.53,8.37,-1.27
1.42,1.58,4.08,-4.95,1.65,12.53,1.55
1.5,1.52,4.12,6.78,1.53,13.29,-0.75
1.38,1.8,3.41,-16.3,1.92,18.33,1.58
1.45,1.74,3.42,-15.75,2.21,42.43,1.65
1.54,1.6,3.52,2.41,1.75,2.98,-1.6
1.54,1.5,3.48,-2.52,1.75,4.9,-1.6
1.44,1.63,3.32,-2.65,1.77,9.9,1.56
1.55,1.55,3.27,2.72,1.73,9.6,-1.64
1.48,1.6,3.79,2.36,1.8,14.64,-1.59
1.56,1.55,3.64,-2.66,1.97,25.28,1.61
1.91,1.66,4.22,-2.05,1.9,30.8,1.59
1.83,1.69,4.28,-1.2,1.98,36.79,1.64
1.51,1.63,4.03,1.61,2.1,52.24,1.85
1.48,1.36,3.51,14.23,1.52,64.84,-1.49
1.56,1.65,3.69,0.22,1.68,29.51,-1.58
1.5,1.64,3.99,4.87,1.47,6.55,-0.72
1.4,1.65,4.18,4.36,1.48,9.93,-0.8
1.59,1.65,3.94,4.14,1.54,13.36,-0.82
1.48,1.73,4.06,4.41,1.51,16.96,-0.76
1.63,1.61,3.96,4.41,1.53,20.52,-0.67
1.41,1.6,4.09,4.76,1.48,27.78,-0.69
1.38,1.47,3.62,-6.41,1.94,48.47,1.58
1.49,1.59,4.09,4.71,1.53,38.51,-0.69
1.4,1.63,4.05,4.23,1.51,45.3,-0.78
1.67,1.68,4.49,-10.87,1.95,65.65,1.59
1.47,1.29,2.95,-14.9,1.91,73.56,1.56
1.66,1.73,3.05,0.26,1.89,42.34,-1.57
1.54,1.66,3.72,-12.85,2.3,31.88,1.58
1.43,1.56,3.5,-16.29,2.41,39.31,1.57
1.57,1.67,4.14,-2.97,0.63,49.31,1.61
1.41,1.54,3.6,-6.67,1.8,7.38,3.12
1.49,1.88,4.41,-16.17,2.02,27.54,1.57
1.48,1.61,3.39,-13.52,1.99,50.03,1.57
1.44,1.79,4.32,-16.46,2.17,51.17,1.62
1.6,1.78,3.86,-13.34,2.22,65.51,1.59
1.51,1.56,3.81,3.04,1.78,8.83,-1.57
1.57,1.68,3.83,3.0,1.76,14.11,-1.59
1.52,1.5,3.85,-3.26,1.83,26.27,1.5
1.43,1.59,3.68,2.92,1.9,32.34,-1.59
1.29,1.59,4.12,-3.59,1.81,39.25,1.54
1.57,1.65,4.09,2.05,1.64,13.47,0.22
1.41,1.54,3.36,-3.3,1.48,10.47,-1.57
1.52,1.67,4.38,-1.15,1.26,22.33,-1.6
1.56,1.59,3.65,-2.57,1.1,30.46,-1.55
1.39,1.46,3.37,-7.17,1.2,31.27,1.6
1.48,1.47,2.23,0.17,0.95,34.94,-1.57
1.57,1.56,2.62,2.15,1.61,15.23,-1.54
1.49,1.53,3.88,-3.16,1.85,15.63,1.69
1.38,1.73,3.97,3.46,1.69,16.04,-1.55
1.74,1.58,3.9,11.71,1.52,14.76,-2.45
1.5,1.62,4.11,3.6,1.77,21.81,-1.53
1.58,1.68,3.76,-4.42,2.0,31.72,1.63
1.49,1.53,4.38,11.34,1.47,21.08,-2.49
1.61,1.74,4.06,-4.18,2.03,37.02,1.63
1.55,1.8,3.98,11.78,1.53,17.74,-2.44
1.77,1.77,5.1,5.51,1.85,50.63,-1.47
1.5,1.87,4.23,-15.01,2.19,36.53,-0.06
1.6,1.57,3.23,1.38,1.58,7.68,-0.69
1.57,1.5,3.68,4.97,1.52,10.33,2.46
1.47,1.6,3.66,10.56,1.62,14.61,-0.66
1.39,1.59,3.17,-7.54,1.93,16.3,-1.52
1.46,1.55,4.28,-9.85,2.03,17.06,-1.43
1.49,1.66,4.16,-17.05,2.46,17.7,-1.49
1.47,1.59,4.03,-2.03,1.05,31.75,-1.52
1.41,1.54,3.36,-1.57,0.82,42.46,-1.53
1.52,1.67,4.38,1.53,0.68,43.52,-1.51
1.44,1.55,3.93,-4.93,1.12,30.52,1.6
1.56,1.59,3.65,-0.41,0.4,53.95,-1.55
1.65,1.67,3.64,0.3,1.91,46.05,-1.59
1.63,1.5,3.83,-12.31,2.03,17.25,1.58
1.46,1.58,4.32,-10.76,2.13,47.1,1.58
1.38,1.73,3.97,3.67,1.71,12.74,-1.53
1.74,1.58,3.9,11.79,1.46,11.33,-2.51
1.5,1.62,4.11,3.87,1.76,18.4,-1.53
1.58,1.68,3.76,-4.03,2.02,28.59,1.68
1.49,1.53,4.38,11.62,1.49,17.68,-2.48
1.61,1.74,4.06,-3.72,2.05,33.48,1.66
1.55,1.8,3.98,12.07,1.51,14.22,-2.45
1.77,1.77,5.1,6.13,1.9,47.2,-1.45
1.5,1.87,4.23,-14.54,2.16,33.39,-0.03
1.36,1.68,4.49,-8.93,1.94,10.33,0.06
1.49,1.64,3.7,-6.85,2.05,54.59,-3.12
1.47,1.59,4.03,-2.62,1.65,4.04,-1.58
1.41,1.54,3.36,-2.93,1.51,14.29,-1.58
1.52,1.67,4.38,0.28,1.3,28.24,-1.56
1.56,1.59,3.65,-2.11,1.19,35.48,-1.53
1.41,1.53,3.81,-6.54,1.49,23.29,1.6
1.45,1.59,4.28,-3.83,1.57,62.47,1.78
1.43,1.59,4.21,9.57,1.46,58.67,-1.39
1.47,1.66,3.76,-4.72,1.8,10.11,1.57
1.47,1.6,3.7,3.72,1.67,5.16,-1.56
1.43,1.68,3.76,-4.63,1.76,15.71,1.58
1.49,1.64,3.52,3.75,1.65,10.75,-1.56
1.38,1.68,4.34,-4.59,1.76,21.12,1.62
1.5,1.64,4.14,3.64,1.61,15.96,-1.57
1.45,1.6,3.2,-4.03,1.77,36.95,1.6
1.51,1.66,3.5,3.79,1.63,20.99,-1.54
1.51,1.61,3.51,4.13,1.62,26.48,-1.53
1.49,1.68,3.8,4.32,1.67,31.99,-1.55
1.38,1.67,4.37,-5.77,1.7,6.35,3.1
1.42,1.41,4.3,1.97,1.55,12.66,0.03
1.5,1.78,3.69,-3.16,1.68,3.35,-1.56
1.51,1.75,4.45,17.81,0.63,23.08,0.13
1.44,1.64,3.68,-6.65,1.08,34.68,1.16
1.63,1.78,4.54,-13.65,1.58,25.43,1.48
1.69,1.76,4.12,3.51,1.6,3.84,0.11
1.48,1.44,3.47,-5.52,1.73,9.5,1.55
1.57,1.54,3.22,2.85,1.78,21.28,-1.6
1.74,1.6,3.86,2.6,1.76,26.35,-1.62
1.86,1.57,3.83,-4.61,1.86,63.54,1.57
1.7,1.5,3.34,-4.46,1.74,8.73,1.49
1.48,1.71,3.93,-5.31,1.81,13.55,1.0
1.6,1.75,4.63,21.2,0.52,54.65,-0.43
1.51,1.58,3.31,3.58,1.6,3.33,-1.2
1.61,1.6,3.11,5.39,1.57,7.48,-0.92
1.79,1.69,4.72,4.96,1.53,19.13,-2.94
1.43,1.7,3.95,15.15,1.32,22.69,2.68
1.39,1.52,3.56,-3.55,1.75,16.73,1.59
1.34,1.64,4.57,-4.67,1.98,47.96,1.52
1.53,1.54,4.35,-9.31,1.86,9.79,2.67
1.52,1.41,4.22,-8.02,2.01,39.6,2.75
1.57,1.67,4.14,-2.25,0.7,48.17,1.63
1.56,1.65,3.69,-0.03,1.71,27.13,-1.56
1.29,1.57,4.38,-10.99,1.97,21.76,1.53
1.4,1.54,3.67,-11.12,2.1,43.18,1.61
1.56,1.7,4.41,-11.18,2.09,48.91,1.57
1.53,1.57,3.54,4.05,1.57,45.17,-0.72
1.4,1.65,4.18,3.83,1.53,51.98,-0.79
1.48,1.56,3.62,-2.43,0.7,53.27,-1.51
1.67,1.64,4.32,-1.57,0.85,40.8,-1.49
1.5,1.62,3.88,-6.62,1.39,23.65,-0.71
1.48,1.7,4.5,-14.09,1.52,18.88,-0.42
1.68,1.67,4.29,-12.66,1.15,38.44,1.73
1.48,1.51,4.35,0.33,1.88,14.76,1.91
1.47,1.68,3.88,-0.08,1.76,9.43,2.17
1.42,1.68,4.29,2.38,1.93,20.11,1.94
1.36,1.4,3.8,5.08,2.0,26.97,1.94
1.44,1.65,2.96,10.05,2.12,39.73,1.86
1.36,1.69,3.38,0.08,1.77,24.82,-1.57
1.44,1.59,3.57,-4.59,1.56,6.27,-2.38
1.4,1.57,3.83,-5.03,1.68,13.89,-2.37
1.42,1.61,4.03,-4.97,1.92,24.17,-2.56
1.8,1.63,3.79,-4.55,1.81,48.3,-2.43
1.52,1.67,3.61,-0.04,1.78,37.53,-1.55
1.26,1.46,3.32,-14.39,1.56,18.8,1.62
1.45,1.64,4.44,-8.29,1.66,13.23,1.52
1.5,1.54,3.74,-8.6,1.55,19.29,1.55
1.54,1.63,3.67,6.13,2.37,46.49,-1.35
1.56,1.59,3.69,-6.7,1.96,10.85,1.7
1.93,1.59,4.01,-6.17,2.02,15.42,1.7
1.58,1.67,3.84,3.93,1.94,19.33,-1.53
1.53,1.67,3.78,3.31,2.5,49.51,1.83
2.05,1.5,3.83,4.51,2.06,24.05,-1.45
1.5,1.7,3.77,-3.01,1.75,21.8,1.62
1.57,1.55,3.32,-3.57,1.48,52.32,-1.6
1.57,1.6,3.99,-3.04,1.78,7.13,1.56
1.52,1.54,3.68,-3.02,1.88,14.67,1.57
1.55,1.44,3.13,-5.68,1.97,8.79,1.54
1.62,1.65,4.14,3.8,1.59,12.25,-0.02
1.55,1.66,4.47,4.03,1.73,18.17,0.0
1.69,1.76,4.12,2.99,1.7,26.12,0.07
1.57,1.54,3.22,1.82,1.97,43.46,-1.62
1.46,1.68,4.1,-2.81,1.64,4.26,-1.54
1.49,1.64,4.17,2.28,1.54,17.92,-1.63
1.41,1.56,3.97,2.39,1.55,2.08,-1.63
1.44,1.65,4.25,-3.42,1.61,8.84,-1.62
1.6,1.75,3.89,-3.14,1.65,31.36,-1.63
1.59,1.64,4.03,2.1,1.55,30.26,-1.65
1.46,1.56,3.21,-3.46,1.63,44.99,-1.56
1.83,1.75,4.52,1.8,1.58,47.31,-1.55
1.44,1.67,3.88,-2.14,1.72,9.1,1.58
1.57,1.56,2.62,2.6,1.6,4.41,-1.5
1.49,1.53,3.88,-2.73,1.65,4.01,1.7
1.5,1.7,3.77,2.96,1.84,48.04,1.8
1.44,1.56,3.76,2.89,1.74,2.38,-1.61
1.53,1.56,3.68,2.69,1.76,7.6,-1.63
1.48,1.54,4.05,-2.71,1.76,10.07,-1.59
1.48,1.67,4.3,-2.79,1.6,21.07,1.54
1.46,1.54,3.62,2.57,1.61,30.5,-1.57
1.52,1.57,4.42,-2.77,1.58,47.96,1.56
1.86,1.57,3.83,-5.3,1.92,21.43,1.55
1.45,1.64,3.61,-13.93,2.22,27.77,1.57
1.57,1.9,4.16,-14.05,2.29,50.81,1.57
1.38,1.59,4.19,3.05,1.79,6.08,1.58
1.38,1.69,3.74,-3.05,1.62,8.55,1.56
1.51,1.56,3.81,3.22,1.89,26.3,-1.56
1.57,1.68,3.83,3.26,1.84,31.56,-1.58
1.52,1.5,3.85,-2.97,1.76,44.17,1.52
1.39,1.54,3.42,1.56,1.58,14.96,-1.74
1.56,1.39,3.73,-0.14,1.52,30.38,2.53
1.56,1.67,3.78,5.66,1.47,26.54,-0.65
1.5,1.53,4.04,9.21,1.34,29.38,-0.69
1.38,1.28,3.16,13.01,1.22,32.17,-0.66
1.7,1.7,4.46,16.62,1.2,35.11,-0.69
1.43,1.58,3.37,3.16,1.66,6.08,-1.56
1.41,1.53,4.11,-6.52,1.6,9.51,3.09
1.46,1.57,3.6,-6.47,1.64,15.01,3.11
1.48,1.54,4.19,-6.0,1.71,17.19,-0.03
1.52,1.57,4.08,-6.37,1.7,19.65,-3.12
1.62,1.61,3.55,3.23,1.71,11.06,-1.57
1.39,1.51,3.4,3.37,1.76,24.58,-1.62
1.48,1.49,3.38,-5.44,1.77,22.1,0.03
1.46,1.61,4.31,-6.03,1.72,48.36,-3.13
1.8,1.77,4.41,-5.57,1.76,53.28,3.03
1.45,1.68,4.53,-4.15,1.72,10.33,-0.17
1.44,1.62,3.67,-2.76,1.92,40.56,1.58
1.52,1.55,3.91,0.94,1.75,21.27,1.4
1.62,1.84,4.1,-1.55,1.86,22.46,1.5
1.74,1.58,3.9,-16.12,2.25,32.53,2.92
1.35,1.64,3.76,-9.82,2.11,17.29,-2.48
1.37,1.78,4.65,-3.68,1.5,37.24,1.72
1.56,1.65,3.69,0.36,1.8,20.22,-1.58
1.54,1.72,3.88,4.7,1.5,7.09,-0.8
1.52,1.49,3.46,4.57,1.68,18.06,-0.79
1.39,1.61,3.65,4.28,1.68,24.66,-0.77
1.6,1.6,3.77,-6.4,1.91,14.54,1.6
1.61,1.7,3.97,-5.89,2.02,31.41,1.67
1.45,1.65,4.63,-10.56,2.01,17.79,1.6
1.81,1.59,3.93,-10.54,2.07,23.99,1.57
1.45,1.84,4.59,-3.89,2.03,50.46,1.69
1.56,1.62,4.19,-9.84,2.06,34.54,1.69
1.42,1.67,4.53,-7.91,2.12,47.2,1.83
1.47,1.48,3.21,-14.95,1.92,16.26,1.68
1.47,1.78,4.34,-21.29,1.93,26.29,1.88
1.47,1.46,3.16,3.3,1.9,59.45,-1.35
1.45,1.5,4.53,-13.94,1.93,33.37,1.68
1.48,1.71,4.65,-4.5,1.88,16.58,-1.42
2.04,1.66,4.62,-7.6,1.95,17.4,-1.36
1.42,1.64,3.95,0.06,1.5,22.49,-1.46
1.51,1.72,4.5,8.93,1.49,15.2,-1.43
1.7,1.8,4.5,7.56,1.36,32.57,-1.39
1.64,1.73,4.43,11.37,1.47,15.28,-1.39
1.38,1.8,4.49,13.95,1.46,14.36,-1.4
1.53,1.61,4.73,-13.07,2.1,18.53,-1.4
1.4,1.56,3.48,-17.53,2.18,19.46,-1.43
1.61,1.66,3.2,-0.31,1.8,23.79,-1.59
1.42,1.45,3.2,2.31,1.63,55.36,-1.6
1.38,1.49,3.32,2.73,1.64,24.58,-1.6
1.5,1.62,3.89,3.47,1.66,11.51,-1.6
1.44,1.56,3.96,6.99,1.61,36.47,-1.65
1.33,1.71,4.09,-2.92,1.59,2.14,-1.6
1.49,1.56,4.34,2.43,1.42,15.88,-1.6
1.42,1.53,4.12,-3.09,1.47,10.94,-1.61
1.59,1.59,3.89,2.58,1.55,3.52,-1.61
1.38,1.64,3.51,2.15,1.25,32.92,-1.51
1.54,1.63,3.67,-0.03,1.68,43.44,-1.58
1.49,1.57,4.07,2.87,1.6,8.13,-1.55
1.52,1.51,3.94,-11.85,2.15,12.98,-0.06
1.54,1.51,3.58,3.02,1.64,12.93,-1.58
1.49,1.55,3.93,2.96,1.57,26.54,-1.6
1.74,1.62,4.13,3.14,1.75,50.18,-1.57
1.34,1.62,3.67,-7.48,1.89,28.27,1.53
1.51,1.58,4.16,-7.59,2.03,33.92,1.54
1.51,1.65,3.94,-7.62,1.97,41.57,1.58
1.7,1.82,4.45,-3.82,1.84,9.27,1.57
1.57,1.56,2.62,3.36,1.31,33.93,-1.38
1.43,1.68,4.19,1.47,1.11,49.53,1.81
1.26,1.6,3.56,-1.62,1.65,71.48,-1.6
1.56,1.73,4.21,-7.81,1.93,51.62,1.55
1.34,1.65,4.44,-16.18,1.98,18.82,1.57
1.49,1.76,4.01,-15.67,2.2,41.57,1.57
1.38,1.8,3.41,-15.87,2.28,54.44,1.58
1.65,1.67,3.64,-1.21,1.92,44.83,-1.59
1.72,1.63,3.54,-21.12,1.75,43.0,-1.55
1.52,1.5,3.51,-21.32,1.69,54.11,-1.6
1.62,1.63,4.5,-0.89,1.65,34.45,-1.59
1.44,1.65,4.26,5.59,1.57,4.76,-0.06
1.77,1.69,3.82,5.74,1.59,7.12,-0.03
1.49,1.59,4.44,-7.1,1.7,14.61,3.12
1.48,1.63,4.1,-6.68,1.76,17.2,-3.13
1.52,1.48,3.23,-7.14,1.74,22.41,0.04
1.41,1.56,4.08,1.98,1.59,20.43,-1.62
1.52,1.64,3.65,-7.11,1.76,31.79,0.08
1.43,1.58,3.37,1.62,1.45,35.46,-1.58
1.45,1.55,3.21,-6.45,1.68,5.99,3.14
1.57,1.47,3.23,-7.01,1.71,13.11,-3.12
1.43,1.57,3.46,-6.8,1.65,15.16,3.13
1.42,1.56,3.48,6.11,1.59,22.01,-2.08
1.41,1.51,3.45,1.74,1.71,34.19,-1.71
1.44,1.64,4.01,-7.2,1.66,29.76,3.12
1.52,1.76,4.1,13.85,0.54,13.24,3.08
1.5,1.78,3.69,-3.59,1.25,27.31,-1.58
1.55,1.81,4.39,23.82,-0.41,43.47,-0.02
1.46,1.68,4.1,-2.78,1.67,5.29,-1.54
1.49,1.64,4.17,2.34,1.55,18.94,-1.63
1.41,1.56,3.97,2.4,1.56,3.1,-1.62
1.44,1.65,4.25,-3.41,1.61,9.88,-1.62
1.6,1.75,3.89,-3.08,1.68,32.39,-1.63
1.59,1.64,4.03,2.16,1.57,31.27,-1.64
1.83,1.75,4.52,1.9,1.53,48.42,-1.55
1.26,1.6,3.56,-3.16,1.49,53.68,-1.57
1.37,1.63,3.57,-6.31,1.68,12.45,-1.56
1.59,1.65,3.84,-3.03,1.66,24.89,-1.57
1.48,1.5,2.19,-6.35,1.49,53.22,-1.59
1.6,1.76,3.84,-0.28,1.26,33.7,-1.58
1.65,1.66,3.96,-7.74,1.55,9.68,-1.57
1.48,1.64,3.81,-3.58,1.53,10.26,-1.56
1.44,1.71,3.78,-7.55,1.47,16.47,-1.57
1.39,1.62,3.73,-7.43,1.37,26.12,-1.56
1.37,1.61,4.21,-3.28,1.36,22.61,-1.55
1.45,1.64,3.86,-7.61,1.24,35.88,-1.57
1.51,1.54,4.17,-11.44,1.49,18.71,-1.57
1.6,1.76,3.84,0.16,1.34,18.61,-1.56
1.49,1.66,3.37,-8.03,1.66,7.59,-1.57
1.63,1.67,3.92,-3.71,1.63,5.01,-1.57
